Fra:2 Mem:308.36M (Peak 308.36M) | Time:00:03.28 | Syncing Plane.428
Fra:2 Mem:308.38M (Peak 308.38M) | Time:00:03.28 | Syncing Camera.001
Fra:2 Mem:308.38M (Peak 308.38M) | Time:00:03.28 | Syncing Plane.002
Fra:2 Mem:308.40M (Peak 308.40M) | Time:00:03.28 | Syncing Plane.012
Fra:2 Mem:346.76M (Peak 385.08M) | Time:00:04.12 | Syncing Plane.013
Fra:2 Mem:347.13M (Peak 385.08M) | Time:00:04.13 | Syncing Plane.061
Fra:2 Mem:347.14M (Peak 385.08M) | Time:00:04.13 | Syncing Plane.081
Fra:2 Mem:347.16M (Peak 385.08M) | Time:00:04.13 | Syncing Plane.117
Fra:2 Mem:347.18M (Peak 385.08M) | Time:00:04.13 | Syncing Plane.128
Fra:2 Mem:347.24M (Peak 385.08M) | Time:00:04.14 | Syncing Plane.129
Fra:2 Mem:347.30M (Peak 385.08M) | Time:00:04.14 | Syncing Plane.130
Fra:2 Mem:347.36M (Peak 385.08M) | Time:00:04.14 | Syncing Plane.131
Fra:2 Mem:347.42M (Peak 385.08M) | Time:00:04.15 | Syncing Plane.132
Fra:2 Mem:347.44M (Peak 385.08M) | Time:00:04.15 | Syncing Plane.133
Fra:2 Mem:347.46M (Peak 385.08M) | Time:00:04.15 | Syncing Plane.134
Fra:2 Mem:347.48M (Peak 385.08M) | Time:00:04.15 | Syncing Plane.135
Fra:2 Mem:347.50M (Peak 385.08M) | Time:00:04.15 | Syncing Plane.136
Fra:2 Mem:347.52M (Peak 385.08M) | Time:00:04.15 | Syncing Plane.137
Fra:2 Mem:347.53M (Peak 385.08M) | Time:00:04.15 | Syncing Plane.138
Fra:2 Mem:347.55M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.139
Fra:2 Mem:347.57M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.140
Fra:2 Mem:347.59M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.141
Fra:2 Mem:347.61M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.142
Fra:2 Mem:347.63M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.143
Fra:2 Mem:347.65M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.144
Fra:2 Mem:347.67M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.145
Fra:2 Mem:347.69M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.146
Fra:2 Mem:347.70M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.147
Fra:2 Mem:347.72M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.148
Fra:2 Mem:347.74M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.149
Fra:2 Mem:347.76M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.150
Fra:2 Mem:347.78M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.151
Fra:2 Mem:347.80M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.152
Fra:2 Mem:347.82M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.153
Fra:2 Mem:347.84M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.154
Fra:2 Mem:347.86M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.155
Fra:2 Mem:347.88M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.156
Fra:2 Mem:347.89M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.157
Fra:2 Mem:347.91M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.158
Fra:2 Mem:347.93M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.159
Fra:2 Mem:347.95M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.160
Fra:2 Mem:347.97M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.161
Fra:2 Mem:347.99M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.162
Fra:2 Mem:348.01M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.163
Fra:2 Mem:348.03M (Peak 385.08M) | Time:00:04.16 | Syncing Plane.164
Fra:2 Mem:348.05M (Peak 385.08M) | Time:00:04.17 | Syncing Plane.189
Fra:2 Mem:348.06M (Peak 385.08M) | Time:00:04.17 | Syncing Plane.190
Fra:2 Mem:348.08M (Peak 385.08M) | Time:00:04.17 | Syncing Plane.191
